Trial,RunNumber,TrialOnset,CueType,CueOffset,FixationDuration,FixationOnset,Calibration,TargetOnset,ReactionTime,FeedbackOnset,FeedbackValue,TrialEnd,OriginalITI,ExcessTime,AdjustedITI,IsWin,EndITItime,EarlyHit,CumulativeBlockTotal,TriggerTimestamp,LeadInStart,LeadOut
74,2,345.52024364,6,347.526638138981,3,347.541627079947,0.32,350.54911723698,0.390325354994275,351.559513952991,0,353.575689514983,4,0.0669259209535085,3.93307407904649,0,357.508851884981,0,20,264082.630216355,0.029716215969529,NaN
75,2,357.519987186999,10,359.525553843996,4,359.541446366988,0.32,363.546097500948,0.226144055952318,364.56703539897,9,366.575658770977,6,0.0668914109701291,5.93310858902987,1,372.51003804896,0,29,264082.630216355,0.029716215969529,NaN
76,2,372.521083860949,8,374.525053777965,2,374.541277272976,0.3,376.551557281986,0.507906239945441,377.564133698994,0,379.574674585951,2,0.0659073409624398,1.93409265903756,0,381.509414490953,0,29,264082.630216355,0.029716215969529,NaN
77,2,381.51984881598,3,383.525368752948,4,383.541013796988,0.32,387.549002685992,0.225106329016853,388.564703748969,0,390.575169037969,2,0.0664037530077621,1.93359624699224,1,392.510084743961,0,29,264082.630216355,0.029716215969529,NaN
78,2,392.522952154977,7,394.542218034971,1,394.557776804955,0.3,395.557911862968,0.336736485012807,396.579794027959,0,398.591688255954,4,0.0829229739611037,3.9170770260389,0,402.50948716799,0,29,264082.630216355,0.029716215969529,NaN
79,2,402.520123757946,4,404.524806604953,1,404.540815141983,0.32,405.541534187971,0.272616347006988,406.562669289997,0,408.574543254974,4,0.0657759149908088,3.93422408500919,1,412.50944142096,0,29,264082.630216355,0.029716215969529,NaN
80,2,412.51918786997,5,414.525777542964,1.5,414.54070649395,0.32,416.045182335947,0.325207011017483,417.058548020956,-9,419.074396424985,2,0.0656290489714593,1.93437095102854,0,421.009729251964,0,20,264082.630216355,0.029716215969529,NaN
81,2,421.020800810948,1,423.025678423,1,423.040594499966,0.34,424.048321901995,0.28990477998741,425.058571521949,0,427.075218783983,2,0.0664513249648735,1.93354867503513,1,429.008819520997,0,20,264082.630216355,0.029716215969529,NaN
82,2,429.019446260994,5,431.025223629957,4.5,431.040472715977,0.34,435.548177374993,0.216705336002633,436.562515436963,0,438.574957139965,2,0.0661898019607179,1.93381019803928,1,440.509382064978,0,20,264082.630216355,0.029716215969529,NaN
83,2,440.520081256982,7,442.523571000958,4,442.540525202989,0.34,446.547578337952,0.281411200005095,447.56333471596,3,449.573701001995,6,0.0649335809866898,5.93506641901331,1,455.509890358953,0,23,264082.630216355,0.029716215969529,NaN
84,2,455.519329891948,3,457.525124317966,4.5,457.540028707997,0.34,462.04043682199,0.20441484299954,463.058571522997,0,465.074755822949,6,0.0659883989719674,5.93401160102803,1,471.009744012961,0,23,264082.630216355,0.029716215969529,NaN
85,2,471.020874501963,4,473.040108288988,3,473.056590677996,0.32,476.060975349974,0.355048899014946,477.08054854197,-7,479.090379599947,2,0.0816121929674409,1.91838780703256,0,481.008889921999,0,16,264082.630216355,0.029716215969529,NaN
86,2,481.019249657984,6,483.024288791989,2.5,483.039801394974,0.34,485.544575651991,0.220387881970964,486.560269379988,1,488.574389431975,4,0.0656221119570546,3.93437788804295,1,492.509305506945,0,17,264082.630216355,0.029716215969529,NaN
